NAME,ref_G,ref_FGA,ref_FTA,ref_PF,ref_PTS,ref_FGA_pgrel,ref_FTA_pgrel,ref_PF_pgrel,ref_PTS_pgrel,ref_home_win_loss,ref_home_FGA,ref_home_FTA,ref_home_PF,ref_home_PTS,ref_away_win_loss,ref_away_FGA,ref_away_FTA,ref_away_PF,ref_away_PTS,ref_win_loss_hvrel,ref_FGA_hvrel,ref_FTA_hvrel,ref_PF_hvrel,ref_PTS_hvrel
Joe DeRosa,1195,163.0841004,51.74828452,43.97154812,197.2094561,0.021422594,0.224351464,-0.47958159,-0.199079498,0.605865272,81.36309623,26.59129707,21.46543933,100.2771548,0.394134728,81.7358159,25.15564854,22.50711297,96.92200837,-0.000139749,-0.668368201,0.256066946,-0.291380753,-0.048786611
David Jones,1570,163.7728025,50.07006369,43.06923567,197.4110191,0.017324841,-0.340063694,-0.512866242,-0.564840764,0.610789172,81.84515924,25.90738854,20.97853503,100.5840764,0.389221019,81.92636943,24.13847134,22.0955414,96.83528662,0.014683439,-0.294458599,0.602993631,-0.341910828,0.438471338
Tom O'Neill,44,171,57.6,48.5,214.9,-3.3,0.6,2,0.9,0.727,85.3,30.6,22.9,111.1,0.273,85.7,27,25.6,103.8,0.167,-0.1,1.3,-1.5,2.3
Pete Quinn,55,172.7272727,62.75818182,48.98909091,215,-1.587272727,5.932727273,2.518181818,1.203636364,0.636109091,86.51818182,32.24181818,24.20181818,109.0690909,0.363890909,86.20909091,30.53090909,24.80181818,105.9309091,-0.019290909,0.68,-0.503636364,0.643636364,-1.732727273
Bill Spooner,1541,165.0434783,49.64341337,42.49065542,199.8479559,0.559377028,-0.438741077,-0.858014276,0.689422453,0.575626217,82.67819598,25.45366645,20.85249838,101.3247242,0.424373783,82.38617781,24.19409474,21.65983128,98.51784555,-0.052288125,0.089617132,0.130564568,-0.065736535,-0.463335496
Barney Woodfield,1,233,74,58,260,58.7,17,11.5,46,0,112,39,29,128,1,121,35,29,132,-1.288,-8.7,1.8,1.2,-9
Mike Callahan,1684,164.2460808,48.17185273,42.44643705,197.6188836,-0.013895487,-1.370427553,-0.639251781,-1.398337292,0.592038005,82.13165083,24.69804038,20.88426366,100.3126485,0.407961995,82.11793349,23.48016627,21.5662114,97.29643705,-0.015359264,-0.19239905,0.151306413,0.025178147,-0.146674584
Ron Mathis,45,170.2,54.2,44.8,210.8,-4.2,-1.6,-1.5,-1.8,0.511,85.5,26.7,22,106.6,0.489,84.7,27.5,22.8,104.2,-0.296,1,-3.1,0.6,-2.4
Mark Wunderlich,1111,162.7321332,49.83546355,43.25958596,195.1148515,0.082718272,-1.391989199,-1.068856886,-1.481638164,0.603081908,81.33771377,25.14347435,21.49342934,99.09351935,0.396918092,81.40027003,24.71377138,21.76480648,96.02016202,-0.003269127,-0.378667867,-0.727362736,0.472907291,-0.3090009
Tom White,1,180,38,40,184,5.3,-15.4,-4.5,-26.6,0,99,14,21,90,1,81,24,19,94,-1.263,17.8,-12,3.3,-8.5
Monty McCutchen,1455,163.4279725,49.1147079,43.67443299,196.8584192,0.403024055,-0.174364261,0.748247423,-0.369140893,0.597893471,81.98453608,24.7633677,21.6556701,99.78618557,0.402106529,81.42707904,24.34405498,22.0224055,97.06446735,-9.42E-05,0.367697595,-0.610927835,0.330515464,-0.399381443
Tim Donaghy,753,160.3807437,52.55458167,45.8997344,194.2936255,-0.084329349,1.63439575,1.233200531,1.460424967,0.604316069,80.17861886,26.737583,22.76533865,98.82576361,0.395683931,80.15896414,25.83678619,23.12177955,95.48419655,0.003531208,-0.31752988,-0.056573705,0.291766268,0.095750332
Ron Elisiak,6,157.3333333,50.16666667,45,195.3333333,-3.933333333,-3.066666667,-1.366666667,-4.933333333,0.666666667,80.7,23.36666667,22.7,100.6666667,0.333333333,76.7,26.86666667,22.36666667,94.66666667,0.131333333,3.5,-4.8,1.133333333,2.8
Bennie Adams,1388,163.5657061,48.21505764,42.69243516,197.3741354,-0.032276657,-0.329178674,0.258933718,-0.710806916,0.575603746,81.76721902,24.66894813,21.01757925,100.2076369,0.424396254,81.80893372,23.52838617,21.68912104,97.16772334,-0.039120317,-0.193876081,0.18926513,-0.002017291,0.062824207
Pat Adams,38,159.6815789,56.96842105,46.96315789,204.3289474,-0.692105263,4.173684211,0.897368421,5.536842105,0.763394737,80.55789474,30.14736842,23.15,105.65,0.236605263,79.12368421,26.82105263,23.81315789,98.77631579,0.321184211,0.744736842,1.939473684,0.134210526,3.681578947
Ron Arthur,18,153.7,62.2,50.3,198.8,-6.7,9.4,4.2,-0.2,0.722,77.5,32.2,24.2,102.8,0.278,76.2,29.9,26.1,96,0.238,0.6,1,-1.1,3.6
Suren Arzoumanian,18,160.7,56.4,46.3,201.9,0.3,3.6,0.2,2.9,0.611,82.1,29.3,22.5,103.5,0.389,78.6,27.1,23.8,98.4,0.016,2.9,1,-0.5,1.9
Mark Ayotte,1005,167.4855721,47.95920398,41.52089552,205.4286567,0.884477612,0.387860697,0.050149254,1.141393035,0.621863682,83.3958209,24.62258706,20.41671642,104.4101493,0.378136318,84.09651741,23.32895522,21.10527363,101.0055721,0.065964179,-0.696218905,0.268557214,-0.006069652,0.657711443
Mark Bakko,1,145,73,55,215,-15.4,20.2,8.9,16,1,71,48,24,112,0,74,25,31,103,0.794,-3.7,21.7,-6.2,5.8
Bruce Bell,14,164.7,59.1,48.3,206.7,4.3,6.3,2.2,7.7,0.5,81.9,32.1,23.7,103.6,0.5,82.9,26.9,24.6,103.1,-0.206,-1.7,3.9,-0.1,-2.8
Mike Bobiak,19,161.5,56.1,47.3,200.9,1.1,3.3,1.2,1.9,0.737,80.4,30.4,22.5,104.3,0.263,81.1,25.7,24.7,96.6,0.268,-1.4,3.3,-1.4,4.5
George Borgia,1,166,29,34,199,5.6,-23.8,-12.1,0,1,85,18,16,103,0,81,11,18,96,0.794,3.3,5.7,-1.2,3.8
Eric Britto,15,155.7,63.2,52.3,197.3,-4.7,10.4,6.2,-1.7,0.667,79.2,30.3,26.1,101.7,0.333,76.5,32.9,26.2,95.7,0.127,2,-4,0.7,2.8
